,name,0,industry
,pagerduty,information technology and services,information technology and services
,public service commission of canada,Government & Public Administration,government & public administration
,ism canada,information technology and services,information technology and services
,trialcard,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
,midland transport,transportation/trucking/railroad,transportation/trucking/railroad
,questrade financial group,financial services,financial services
,sap,information technology and services,information technology and services
,avenue code,computer software,computer software
,conestoga college,Education,education
,index exchange,online media,online media
,air canada vacations,"leisure, travel & tourism","leisure, travel & tourism"
,asana,Internet & Web Services,internet & web services
,pacific blue cross,insurance,insurance
,elections ontario,Government & Public Administration,government & public administration
,startech.com,computer hardware,computer hardware
,circle,others,others
,leaseweb,information technology and services,information technology and services
,traction on demand,information technology and services,information technology and services
,geotab,information technology and services,information technology and services
,trojan technologies,environmental services,environmental services
,bmw group canada,automotive,automotive
,fgf brands,food production,food production
,jonas software,computer software,computer software
,tucows,Internet & Web Services,internet & web services
,sheridan college,Education,education
,ocs,information technology and services,information technology and services
,farmers edge,farming,farming
,bench accounting,accounting,accounting
,volkswagen group canada,automotive,automotive
,assent compliance inc,information technology and services,information technology and services
,levio,information technology and services,information technology and services
,407 etr,transportation/trucking/railroad,transportation/trucking/railroad
,mitacs,research,research
,olds college,Education,education
,points,Internet & Web Services,internet & web services
,accreditation canada,Healthcare,healthcare
,edc,electrical/electronic manufacturing,electrical/electronic manufacturing
,techo-bloc,building materials,building materials
,"connor, clark & lunn financial group",investment management,investment management
,greenfield global,renewables & environment,renewables & environment
,loblaw digital,Internet & Web Services,internet & web services
,freshbooks,computer software,computer software
,gs1 canada,Non-profit & NGO,non-profit & ngo
,imco,Healthcare,healthcare
,top hat,computer software,computer software
,kixeye,computer games,computer games
,precision for medicine,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
,thinking capital,financial services,financial services
,ehealth saskatchewan,information technology and services,information technology and services
,city of prince george,Government & Public Administration,government & public administration
,tenaquip,business supplies and equipment,business supplies and equipment
,db schenker,Transportation & Logistics,transportation & logistics
,tec canada,professional training & coaching,professional training & coaching
,apple,consumer electronics,consumer electronics
,unbounce,marketing and advertising,marketing and advertising
,irving consumer products,consumer goods,consumer goods
,backstage,online media,online media
,dataiku,computer software,computer software
,sheridan college,Education,education
,engage2excel,Business Consulting,business consulting
,ikea,retail,retail
,canada drives,financial services,financial services
,ritual.co,information technology and services,information technology and services
,sharethrough,marketing and advertising,marketing and advertising
,fujitsu,information technology and services,information technology and services
,canteen,restaurants,restaurants
,sap,human resources,human resources
,jane.com,retail,retail
,cardinal path,marketing and advertising,marketing and advertising
,hothead games,computer games,computer games
,rokstad power,construction,construction
,technical safety bc,public safety,public safety
,first capital,financial services,financial services
,system1,Internet & Web Services,internet & web services
,imperial manufacturing group,building materials,building materials
